 ,Area,Mean,StdDev,Min,Max,X,Y
300,1,255,0,255,255,286.500,429.500
301,13,255,0,255,255,407.654,432.731
302,15,255,0,255,255,429.633,431.300
303,2,255,0,255,255,469.500,430.000
304,1,255,0,255,255,487.500,429.500
305,3,255,0,255,255,437.500,430.500
306,1,255,0,255,255,443.500,430.500
307,1,255,0,255,255,159.500,431.500
308,8,255,0,255,255,277.250,433.000
309,8,255,0,255,255,284.625,433.250
310,35,255,0,255,255,367.643,434.471
311,1,255,0,255,255,423.500,431.500
312,1,255,0,255,255,156.500,432.500
313,4,255,0,255,255,434.000,432.500
314,9,255,0,255,255,476.056,433.611
315,15,255,0,255,255,305.500,435.100
316,1,255,0,255,255,375.500,433.500
317,7,255,0,255,255,510.357,435.643
318,3,255,0,255,255,239.500,435.500
319,8,255,0,255,255,243.250,435.875
320,7,255,0,255,255,290.929,435.214
321,2,255,0,255,255,488.000,434.500
322,7,255,0,255,255,425.786,438.500
323,4,255,0,255,255,268.500,437.500
324,2,255,0,255,255,298.500,437.000
325,11,255,0,255,255,502.500,438.682
326,5,255,0,255,255,254.300,437.900
327,4,255,0,255,255,360.500,438.250
328,5,255,0,255,255,309.500,439.300
329,14,255,0,255,255,341.857,439.214
330,6,255,0,255,255,468.167,440.333
331,6,255,0,255,255,233.000,440.500
332,2,255,0,255,255,327.000,440.000
333,33,255,0,255,255,402.864,444.106
334,1,255,0,255,255,512.500,439.500
335,2,255,0,255,255,155.000,441.000
336,5,255,0,255,255,260.500,442.300
337,2,255,0,255,255,157.000,443.000
338,6,255,0,255,255,406.667,444.167
339,5,255,0,255,255,153.500,444.900
340,2,255,0,255,255,278.000,443.500
341,20,255,0,255,255,313.950,446.600
342,1,255,0,255,255,423.500,443.500
343,1,255,0,255,255,466.500,443.500
344,2,255,0,255,255,334.000,444.500
345,2,255,0,255,255,409.500,445.000
346,4,255,0,255,255,583.000,446.000
347,2,255,0,255,255,588.500,445.000
348,18,255,0,255,255,248.278,447.167
349,10,255,0,255,255,331.500,447.300
350,21,255,0,255,255,341.548,447.262
351,9,255,0,255,255,419.389,447.056
352,1,255,0,255,255,482.500,446.500
353,11,255,0,255,255,265.318,447.955
354,34,255,0,255,255,148.118,453.794
355,3,255,0,255,255,254.500,450.167
356,1,255,0,255,255,405.500,449.500
357,296,255,0,255,255,237.801,469.818
358,7,255,0,255,255,239.929,452.929
359,74,255,0,255,255,304.162,456.459
360,1,255,0,255,255,335.500,450.500
361,1,255,0,255,255,399.500,450.500
362,1,255,0,255,255,464.500,450.500
363,97,255,0,255,255,287.180,456.005
364,2,255,0,255,255,320.500,452.000
365,9,255,0,255,255,339.389,452.500
366,2,255,0,255,255,405.500,452.000
367,27,255,0,255,255,408.944,459.796
368,6,255,0,255,255,264.000,453.167
369,1,255,0,255,255,396.500,452.500
370,1,255,0,255,255,465.500,453.500
371,2,255,0,255,255,315.000,455.000
372,1,255,0,255,255,587.500,454.500
373,1,255,0,255,255,445.500,455.500
374,1,255,0,255,255,460.500,456.500
375,14,255,0,255,255,153.929,460.000
376,3,255,0,255,255,458.833,459.500
